Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Let Go,Yes,72300000,110.0,39400000,2024 H2,7.2,8,"Adventure,Short,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Lonely Planet,Yes,62900000,96.0,39300000,2024 H2,5.7,12725,"Drama,Romance",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Menendez Brothers,Yes,77000000,118.0,39200000,2024 H2,7.3,26,Documentary,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferdinand,No,71200000,110.0,38800000,2024 H2,6.7,69257,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Happiness for Beginners,Yes,68400000,106.0,38700000,2023 H2,6.1,21678,"Comedy,Drama,Romance",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fair Play,Yes,73600000,115.0,38400000,2023 H2,5.0,5,Short,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Croods,No,62400000,98.0,38200000,2025 H1,8.9,9,Talk-Show,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Top Gun: Maverick,No,80400000,130.0,37100000,2024 H1,6.7,17,"Comedy,Talk-Show",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Woman of the Hour,No,58700000,96.0,36700000,2024 H2,7.7,171,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPop Demon Hunters,Yes,61100000,100.0,36700000,2025 H1,5.6,12,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
